game_id,random_seed,player_count,round,season,log_type,message,tile_id,tile_name,tile_category,card_id,card_name,encounter_type,action_cost,resource_gained_total,strain_added,strain_prevented,strain_removed
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,setup,Created a 1-player standard setup.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,setup,Built a balanced standard Encounter pool.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,setup,Dealt hidden player hands and the starting Encounter Deck.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,setup,Stocked the starting Warehouse for the player count.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,setup,Assigned Steward roles and prepared their setup token sites.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,setup,Player 1 placed their Vanguard token on G1.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,encounter,Seeded 3 Encounter Cards for Season I.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,encounter,Revealed Plunderer to Lumber.,,,,arrival_from_plunderer_to_lumber,Plunderer to Lumber,Arrival,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,encounter,Completed Plunderer to Lumber.,,,,arrival_from_plunderer_to_lumber,Plunderer to Lumber,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,place_tile,Placed Lumber Yard on H1.,core_forest_basic,Lumber Yard,Resource,,,,1,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,place_tile,Placed Lumber Yard on G1.,core_forest_basic,Lumber Yard,Resource,,,,1,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,upgrade_tile,Upgraded Lumber Yard to Sustainable Lumber Yard.,core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,turn,Player 1 ended their turn. Round 1 is ready for end-of-round effects.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,1,I,round,Resolved end-of-round effects for Round 1. Round 2 is ready to reveal.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,encounter,Revealed Help Stands.,,,,boon_where_help_stands,Help Stands,Boon,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,upgrade_tile,Upgraded Lumber Yard to Sustainable Lumber Yard.,core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,activate_tile,"Activated Sustainable Lumber Yard for 2 Wood, 2 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,place_tile,Placed Cabin on G2.,core_cottage_basic,Cabin,Housing,,,,1,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,activate_tile,"Activated Sustainable Lumber Yard for 2 Wood, 2 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,turn,Player 1 ended their turn. Round 2 is ready for end-of-round effects.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,2,I,round,Resolved end-of-round effects for Round 2. Round 3 is ready to reveal.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,encounter,Revealed No Soul Goes Unserved.,,,,arrival_no_soul_shall_go_without,No Soul Goes Unserved,Arrival,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,encounter,Completed No Soul Goes Unserved.,,,,arrival_no_soul_shall_go_without,No Soul Goes Unserved,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,activate_tile,"Activated Sustainable Lumber Yard for 0 Wood, 2 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,activate_tile,"Activated Sustainable Lumber Yard for 0 Wood, 1 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,place_tile,Placed Stedding on H2.,core_neighborhood_basic,Stedding,Housing,,,,1,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,turn,Player 1 ended their turn. Round 3 is ready for end-of-round effects.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,3,I,round,Resolved end-of-round effects for Round 3. Round 4 is ready to reveal.,,,,,,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,4,I,encounter,Revealed News Travels Faster.,,,,arrival_news_travels_faster_than_goods,News Travels Faster,Arrival,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,4,I,encounter,Completed News Travels Faster.,,,,arrival_news_travels_faster_than_goods,News Travels Faster,,0,0,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,4,I,activate_tile,"Activated Sustainable Lumber Yard for 0 Wood, 2 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,4,I,activate_tile,"Activated Sustainable Lumber Yard for 0 Wood, 2 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,4,I,activate_tile,"Activated Sustainable Lumber Yard for 0 Wood, 2 Food.",core_managed_woodlands_upgraded,Sustainable Lumber Yard,Resource,,,,1,5,0,0,0
